,,,,,,
Zipcode,Latitude,Longitude,,,,
80443,39.556393,-106.170245,,,,
80444,39.608406,-105.750988,,,,
80446,40.176381,-105.949079,,,,
80447,40.296598,-105.762357,,,,
80448,39.423124,-105.649844,,,,
80449,38.976576,-105.856797,,,,
80451,40.098446,-106.073143,,,,
80452,39.689403,-105.670783,,,,
80453,39.662687,-105.242573,,,,
80454,39.630111,-105.248097,,,,
80455,40.094970,-105.397691,,,,
80456,39.248322,-105.536849,,,,
80457,39.648250,-105.290978,,,,
80459,40.177204,-106.454609,,,,
80461,39.231742,-106.313157,,,,
80463,39.970544,-106.720487,,,,
80465,39.609101,-105.205545,,,,
80466,39.974483,-105.546992,,,,
80467,40.206871,-106.825671,,,,
80468,39.951923,-106.122681,,,,
80469,40.200081,-106.968565,,,,
80470,39.379793,-105.324404,,,,
80471,39.935223,-105.420972,,,,
80473,40.416393,-106.134369,,,,
80475,39.455178,-105.570364,,,,
80476,39.670628,-105.834343,,,,
80477,40.486391,-106.829354,,,,
80478,40.029019,-105.852772,,,,
80479,40.035912,-106.814497,,,,
80480,40.672888,-106.341566,,,,
80481,40.101411,-105.576764,,,,
80482,39.897522,-105.785797,,,,
80483,40.091798,-106.935980,,,,
80487,40.540952,-106.850132,,,,
80488,40.448703,-106.818184,,,,
80497,39.670756,-106.000064,,,,
80498,39.746631,-106.270530,,,,
80501,40.164837,-105.103179,,,,
80503,40.169014,-105.210376,,,,
80504,40.163388,-105.030087,,,,
80510,40.212495,-105.606827,,,,
80511,40.340181,-105.572189,,,,
80512,40.631157,-105.574043,,,,
80513,40.297380,-105.103753,,,,
80514,40.065847,-104.955479,,,,
80515,40.462346,-105.382303,,,,
80516,40.051112,-105.027632,,,,
80517,40.384744,-105.586376,,,,
80520,40.113099,-104.931431,,,,
80521,40.594597,-105.127416,,,,
80524,40.646857,-105.029513,,,,
80525,40.529861,-105.036641,,,,
80526,40.518836,-105.143224,,,,
80528,40.494596,-105.004639,,,,
80530,40.097792,-104.929279,,,,
80532,40.493095,-105.467197,,,,
80534,40.331863,-104.937467,,,,
80535,40.732954,-105.183846,,,,
80536,40.868337,-105.369065,,,,
80537,40.363199,-105.176682,,,,
80538,40.457521,-105.050761,,,,
80540,40.235694,-105.364549,,,,
80542,40.235081,-104.999386,,,,
80543,40.349679,-104.857452,,,,
80544,40.103412,-105.171093,,,,
80545,40.874586,-105.637727,,,,
80546,40.525242,-104.849696,,,,
80547,40.526630,-104.965364,,,,
80549,40.857579,-105.044150,,,,
80550,40.484657,-104.900983,,,,
80601,39.962027,-104.807809,,,,
80602,39.966363,-104.908709,,,,
80603,39.982211,-104.737094,,,,
80610,40.673769,-104.591319,,,,
80611,40.624982,-104.287097,,,,
80612,40.872141,-104.852569,,,,
80615,40.545658,-104.645698,,,,
80620,40.373756,-104.717482,,,,
80621,40.107239,-104.801290,,,,
80622,40.538013,-104.460409,,,,
80623,40.285379,-104.782532,,,,
80624,40.486784,-104.498802,,,,
80631,40.442868,-104.673072,,,,
80634,40.403315,-104.792917,,,,
80640,39.887453,-104.880987,,,,
80642,40.051416,-104.612139,,,,
80643,40.112932,-104.489163,,,,
80644,40.428280,-104.424790,,,,
80645,40.330728,-104.667961,,,,
80648,40.755864,-104.740919,,,,
80649,40.400836,-104.185793,,,,
80650,40.621518,-104.829835,,,,
80651,40.241735,-104.809410,,,,
80652,40.138877,-104.275149,,,,
80653,40.423342,-103.974634,,,,
80654,40.138103,-104.065491,,,,
80701,40.165309,-103.870735,,,,
80705,40.270499,-103.829653,,,,
80720,40.078252,-103.219881,,,,
80721,40.689612,-102.153900,,,,
80722,40.506613,-103.271661,,,,
80723,40.193773,-103.543331,,,,
80726,40.905042,-102.793047,,,,
80727,40.075829,-102.510988,,,,
80728,40.644866,-102.873872,,,,
80729,40.884243,-104.269296,,,,
80731,40.594450,-102.600328,,,,
80733,40.371386,-103.450535,,,,
80734,40.519891,-102.291952,,,,
80735,39.709824,-102.273164,,,,
80736,40.811815,-103.027237,,,,
80737,40.876140,-102.177979,,,,
80740,39.725661,-103.382898,,,,
80741,40.567222,-103.476943,,,,
80742,40.755781,-103.835012,,,,
80743,40.197118,-102.954746,,,,
80744,40.873626,-102.391968,,,,
80745,40.895496,-103.412556,,,,
80746,40.609603,-102.465912,,,,
80747,40.942361,-103.086174,,,,
80749,40.867058,-102.547276,,,,
80750,40.414765,-103.604846,,,,
80751,40.636880,-103.232406,,,,
80754,40.721755,-103.665469,,,,
80755,39.911897,-102.344974,,,,
80757,39.791027,-103.583130,,,,
80758,40.138836,-102.193094,,,,
80759,40.135241,-102.685959,,,,
80801,39.732280,-103.101271,,,,
80802,38.836946,-102.173384,,,,
80804,39.346840,-103.248069,,,,
80805,39.305959,-102.455614,,,,
80807,39.321667,-102.223231,,,,
80808,38.981599,-104.304401,,,,
80809,38.852057,-105.008560,,,,
80810,38.822287,-102.428708,,,,
80812,39.619003,-102.849918,,,,
80813,38.805388,-105.158500,,,,
